_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
3188,5472,TR-06406,2453,Bloor St W,Bloor St W,South,Jane St,West,T9952,04,Bloor West Village,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4846574104787, 43.6491113891658]]}"
3189,5473,TR-06400,51,Tournament Dr,Tournament Dr,South,Upper Highland Cres,West,T8374,15,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3985202626273, 43.7508736696807]]}"
3190,5475,TR-06392,3330,Bayview Ave,Cummer Ave,South,Bayview Ave,West,T1802,18,None,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3938590976173, 43.792120822275]]}"
3191,5476,TR-06405,558,Dundas St W,Bloor St W,North,Dundas St W,East,T507,04,None,KR2,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.452113222325, 43.6564754456917]]}"
3192,5477,TR-06385,None,Kingston Rd,Kingston Rd,North,Glen Manor Dr,East,T15349,19,None,LC,Existing,Provincial,0TS13782,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.293949336296, 43.6799441258977]]}"
3193,5478,TR-06395,2,Lister Dr,Drewry Ave,South,Lister Dr,West,T9286,18,None,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4377498060746, 43.7825379706457]]}"
3194,5479,TR-06393,3343,Bayview Ave,Bayview Ave,East,Cummer Ave,South,T286,17,None,LKN,Existing,Provincial,S2400286,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3933859113881, 43.7921691950192]]}"
3195,5480,TR-06411,3390,St Clair Ave E,St Clair Ave E,North,Santamonica Blvd,East,T6126,20,None,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2763851381165, 43.7132456918071]]}"
3196,5481,TR-06410,24,Stellarton Rd,Pharmacy Ave,West,Stellarton Rd,North,T6755,20,None,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2927533965616, 43.7138015216976]]}"
3197,5482,TR-06399,None,Hilda Ave,Hilda Ave,East,Steeles Ave W,South,T12004,18,None,LK,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4289956823471, 43.7955732085659]]}"
3198,5483,TR-06388,75,Graydon Hall Dr,Graydon Hall Dr,South,Graydon Hall Pl,East,T9653,16,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3441827908064, 43.7647096455329]]}"
3199,5484,TR-06394,3,Drewry Ave,Drewry Ave,South,Yonge St,West,T9293,18,None,RN2,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4181218593343, 43.7868939602629]]}"
3200,5486,TR-06391,1,Valley Woods Rd,Brookbanks Dr,North,Valley Woods Rd,East,T7567,16,None,LKN,Existing,Provincial,S3400567,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3315651466529, 43.7523295153065]]}"
3201,5487,TR-06404,340,The East Mall,The East Mall,West,Gibbs Rd,North,T2199,02,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5572757058221, 43.6386125617719]]}"
3202,5488,TR-06381,433,Queen St W,Queen St W,South,Spadina Ave,West,T6853,10,Queen Street West,LK,Existing,Provincial,0TS13730,TO360,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3966700779594, 43.6486123471351]]}"
3203,5489,TR-06583,288,Judson St,Judson St,North,Magnificent Rd,East,T3949,03,None,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5120880995216, 43.6129739546886]]}"
3204,5491,TR-06586,None,None,Runnymede Rd,East,Colbeck St,North,T7053,04,None,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4777645131691, 43.6550327181411]]}"
3205,5493,TR-06589,1480,Queen St E,Queen St E,North,Woodfield Rd,East,T15337,14,None,RN2,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3209709205563, 43.6654115100105]]}"
3206,5494,TR-06591,221,Queen St E,Queen St E,South,Wineva Ave,West,T6821,19,The Beach,RN1,Temporarily Removed,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2958913464794, 43.6708681145363]]}"
3207,5495,TR-06594,None,None,Petrolia Rd,East,Wildcat Rd,South,T15623,06,DuKe Heights,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4882595328042, 43.7781071909172]]}"
3208,5496,TR-05782,17,Leslie St,Leslie St,East,Eastern Ave,South,T13421,14,None,KF2,Existing,Provincial,TS13564P,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3292614089185, 43.6613594228493]]}"
3209,5499,TR-05777,None,None,Bathurst St,West,Fleet St,North,T14850,10,CityPlace and Fort York,KR2,Existing,Provincial,TS13598P,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3999924901584, 43.6368367807186]]}"
3210,5501,TR-05773,None,None,Don Mills Rd,East,Moatfield Dr,South,T1955,16,None,KR1,Existing,Provincial,TS13550P,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.346935743479, 43.7584428435555]]}"
3211,5502,TR-05772,1,Chipping Rd,Don Mills Rd,East,Chipping Rd,South,T1913,16,None,KF2,Existing,Provincial,TS13552P,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3451924487188, 43.7444676538396]]}"
3212,5503,TR-05771,5,Jedburgh Rd,Lawrence Ave W,North,Jedburgh Rd,East,T5380,08,None,LC,Existing,Provincial,0TS13524,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4054693369243, 43.7245427346774]]}"
3213,5504,TR-05769,640,Lawrence Ave W,Varna Dr,West,Lawrence Ave W,North,T7405,08,None,LKN,Existing,Provincial,S1507505,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4378691330142, 43.7178780270642]]}"
3214,5505,TR-02990,2,Orton Park Rd,Orton Park Rd,West,Lawrence Ave E,North,T11103,24,None,LCN,Existing,Provincial,S4311103,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.205845398211, 43.7642682747876]]}"
3215,5506,TR-01699,1615,Warden Ave,Warden Ave,East,Metropolitan Rd,South,T8591,21,None,LC,Existing,Provincial,0TS12102,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3025367199578, 43.7669760567238]]}"
3216,5507,TR-00407,3150,Danforth Ave,Danforth Ave,North,St Dunstan Dr,West,35,20,Crossroads of the Danforth,A,Existing,Provincial,0TS10860,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2859340731581, 43.691870047259]]}"
3217,5509,SH-00027,1906,Weston Rd,Lawrence Ave W,North,Weston Rd,West,T5413,05,Weston Village,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5169394996192, 43.7000612084015]]}"
3218,5510,TR-05881,97,Baycrest Ave,Ameer Ave,East,Baycrest Ave,South,T6234,08,None,RN1,Temporarily Removed,Provincial,S1506234,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4404759577492, 43.7277226555041]]}"
3219,5512,TR-05882,104,Baycrest Ave,Ameer Ave,West,Baycrest Ave,North,T6235,08,None,RN1,Temporarily Removed,Provincial,S1506235,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4407372092028, 43.7279308008787]]}"
3220,5513,TR-05884,29,Varna Dr,Varna Dr,East,Flemington Rd,South,T7403,08,None,LKN,Existing,Provincial,S1507403,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4405500281847, 43.7200864519783]]}"
3221,5514,TR-05883,41,Varna Dr,Varna Dr,East,Rondale Blvd,North,T7409,08,None,LKN,Temporarily Removed,Provincial,S1507409,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4409534901468, 43.7213673139355]]}"
3222,5515,TR-05879,79,Cleveland St,Davisville Ave,North,Cleveland St,East,T1872,15,None,RN2,Existing,Provincial,S2201872,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3778642588852, 43.7022568495231]]}"
3223,5516,TR-06100,75,Tandridge Cres,Tandridge Cres,West,Byng Ave,South,T11265,01,None,LKN,Existing,Provincial,S0211265,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5460296101462, 43.7289921380172]]}"
3224,5517,TR-06141,4133,Dundas St W,Dundas St W,South,Old Dundas St,West,T5020,03,None,C,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5072981963113, 43.6617444240061]]}"
3225,5519,TR-06004,265,Yorkland Blvd,Yorkland Blvd,North,Yorkland Blvd,East,T7477,17,None,LCN,Existing,Provincial,S3307477,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3359161617522, 43.7730518668895]]}"
3226,5520,TR-06001,29,Hobart Dr,Van Horne Ave,North,Hobart Dr,East,T7388,17,None,LKN,Existing,Provincial,S3307388,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3493651700683, 43.7880851994123]]}"
3227,5521,TR-06096,154,Norfinch Dr,Norfinch Dr,West,Finch Ave W,North,T5863,07,None,LKN,Existing,Provincial,S0805863,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.530098992978, 43.7647140053649]]}"
3228,5522,TR-06052,1879,Bloor St W,Bloor St W,South,Quebec Ave,East,T571,04,None,KR2,Existing,Provincial,TS13796P,Yes,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4667489961444, 43.6531404262339]]}"
3229,5523,TR-06089,69,Trehorne Dr,The Westway,South,Trehorne Dr,West,T6172,02,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5362631289553, 43.6909914404121]]}"
3230,5524,TR-06119,2965,Islington Ave,Islington Ave,East,Vanhill Ave,South,T3851,07,Emery Village,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5696157462903, 43.7572010659038]]}"
3231,5525,TR-06106,245,Drewry Ave,Drewry Ave,South,Norwin St,West,T9289,18,None,LKN,Existing,Provincial,S2309289,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4283906001937, 43.7846122867524]]}"
3232,5526,TR-06677,128,Sloane Ave,Sloane Ave,West,Wigmore Dr,North,T8114,16,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3104872315822, 43.7325066762612]]}"
3233,5527,TR-06678,None,Birchmount Rd,Birchmount Rd,West,Brookmill Blvd,South,T9748,22,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3086480188, 43.8028987031837]]}"
